customer_id,household_members,number_of_children,favorite_color,favorite_season,sweetness_like,fun_spending_budget
ba341fba-6b48-4ffb-8e81-d99d18f1716d,1,0,red,spring,4,42
350af5ce-e141-4637-bd6e-370fa5239438,4,3,yellow,summer,4,118
5647670c-514b-4606-bd89-ea9abb7a2951,5,0,red,fall,0,110
7248816f-80c5-4375-92c3-80133b61a763,2,1,purple,fall,0,71
1795019f-783b-4d69-8acc-7a0be5340e6e,3,2,purple,spring,10,66
50de0bfb-da07-46bd-a472-85477a551798,5,0,red,fall,8,81
d7057485-8487-435a-9c16-4cd2a4c01f77,4,0,blue,summer,4,67
08c95391-0658-457e-b21e-a9f46ab7d991,5,3,yellow,winter,6,124
a9696e85-0664-48c2-a5f0-3ff68a5670cf,5,1,purple,winter,9,148
fb4a4bbe-4c63-45a1-a5b6-787d6aa159d2,5,3,yellow,winter,3,158
089898c0-2017-4f4a-91da-5b77356b1a0b,4,0,green,summer,3,161
51b55290-5f31-45c4-bd34-3f35f4d1b445,5,2,blue,fall,2,91
524cdf16-f764-4fa4-9106-816f9905427b,5,1,blue,summer,1,114
a65308d5-229a-4b78-82b4-faa9f6bf8500,5,1,green,fall,10,26
cc074b3e-bdbb-44d7-a613-cf29fb4d2cb8,1,1,blue,winter,2,193
4aa93f1e-018c-4417-a601-2af47cfb94de,5,3,purple,fall,1,178
96cf1dcf-955d-4391-9789-7bd613012b39,4,0,green,summer,3,35
03bdec28-1572-44dc-91cf-af5f87223758,3,0,purple,fall,4,189
0d0cea42-eef2-4066-acce-b4fb0e3d2838,1,0,purple,winter,10,186
12185fb3-f8ca-491d-8c24-b2905b9697fa,2,1,green,winter,1,73
adcf93fe-f252-4081-ba61-18867c4e438b,2,1,yellow,spring,1,191
329def14-b01b-4f5e-a098-81f895494864,4,2,yellow,spring,0,102
c05b4a9e-df97-48c9-b0cb-39ade709f5fa,1,1,blue,fall,7,155
0c7970e5-b42e-489d-9790-2db137f1cea9,1,0,green,summer,8,85
9cfea634-b24b-4f12-a0a3-cb8eecc167ed,2,0,purple,winter,10,189
c315c6f2-5db7-42ea-af7c-9ef7bee02cda,3,1,yellow,summer,4,86
4999ef82-c7a6-461e-949b-aa99863f1802,5,2,yellow,fall,3,134
98d9d049-ae84-4123-9dae-433a9a264ffb,3,1,blue,fall,5,112
65dee1ec-d7c7-42a4-8e02-1ef219268cae,1,1,blue,summer,6,98
eca32626-e3ce-4075-a9f0-17af405a0896,4,3,blue,spring,3,120
f01b5ee9-4897-4c94-a2d5-021ae6bc2cdd,3,1,blue,fall,2,179
295b2cc6-2ad9-4e05-a95a-87ac045883d9,3,0,green,winter,9,198
f45fa27b-e671-41f8-84c4-230de6d8b629,1,0,red,spring,8,194
6e087256-d076-4bd8-acd5-2b2322f67cd6,2,0,yellow,fall,1,113
b2b41018-54a3-4296-aa2e-aeacea14c85a,1,3,blue,spring,4,134
e666dceb-63ad-4bfe-869f-dbe73c4b943a,3,3,purple,winter,10,181
185800f7-5366-491e-a6f6-032f00963cb3,3,1,yellow,fall,0,32
f66e77c4-f36d-4954-9692-f9a5e0eaa2c7,4,2,blue,summer,8,100
